Date,Trends
14-07-2024,"['Trump', 'Shooter', 'Secret Service', 'Republican', 'Former Trump']"
15-07-2024,"['Trump', 'Secret Service', 'England', 'Republican', 'Shakira']"
16-07-2024,"['Secret Service', 'Republican', 'Trump and Vance', 'Mark', 'Enzo']"
17-07-2024,"['Trump', 'Covid', 'California', 'Amber Rose', 'Iran']"
18-07-2024,"['Vance', 'Covid', '#MAGA', 'Harris', 'Kamala']"
19-07-2024,"['#MAGA', 'Hulk Hogan', 'Global IT', 'Linux', 'BE MINE']"
20-07-2024,"['Windows', 'Yemen', '#MAGA', 'Hillary', 'GLASS LIP X SAROCHA']"
21-07-2024,"['Kamala', 'Harris', 'Yemen', 'Democracy', 'Democratic']"
22-07-2024,"['Democrats', 'Cheatle', 'Hillary', 'Netanyahu', 'Dems']"
23-07-2024,"['Cheatle', 'Democrats', 'Kimberly Cheatle', 'Dems', 'Lebron']"
24-07-2024,"['President', 'Israel', 'Congress', 'Lisa', 'SEVENTEEN']"
25-07-2024,"['Kamala', 'Israel', 'Congress', 'Gaza', 'Hamas']"
26-07-2024,"['-', '-', '-', '-', '-']"
27-07-2024,"['Olympics', 'Christians', '-', '-', '-']"
28-07-2024,"['Venezuela', '#TheLoyalPinGalaPremiere', 'Doom', 'Google', 'ANILPIN WORLD PREMIERE']"
29-07-2024,"['Venezuela', 'Nicolás Maduro', 'Google', 'Japan', 'Supreme Court']"
30-07-2024,"['Japan', 'Simone', 'Atlanta', '#OlympicGames', 'Beirut']"
31-07-2024,"['Black', 'Ismail Haniyeh', 'Iran', 'NABJ', 'Tehran']"
01-08-2024,"['Black', 'Angela', 'Imane Khelif', 'Simone', 'Rebeca']"
02-08-2024,"['Angela', 'Algeria', 'Kyle', 'Shapiro', 'Marchand']"
03-08-2024,"['FELIX', '#SKZpalooza', '#Lollapalooza', '#SmackDown', '#Shiorin3D']"
04-08-2024,"['THE LOYAL PIN THAI GL NO1', '#ปิ่นภักดิ์EP1', '#SummerSlam', 'Georgia', 'England']"
05-08-2024,"['Bangladesh', 'Rebeca', '#HouseOfTheDragon', 'Walz', '#KamalaCrash']"
06-08-2024,"['Walz', 'Minnesota', 'Vance', 'Minneapolis', 'Shapiro']"
07-08-2024,"['Walz', 'Vance', 'Iraq', 'Stolen Valor', 'Tampon Tim']"
08-08-2024,"['jungkook', 'Covid', 'Steph', 'Serbia', 'Team USA']"
09-08-2024,"['Arizona', 'Lawrence', 'Montana', 'Chi Chi', 'Rogan']"
10-08-2024,"['Steph', '#NuNew1stConcertDay1', 'Lebron', 'Montana', 'Arizona']"
11-08-2024,"['Steph', 'Lebron', 'Jordan', 'Disney', '#ClosingCeremony']"
12-08-2024,"['Elon', '#LaCasaDeLosFamososMx', 'Spaces', '#LCDLFMX2', 'jeonghan']"
13-08-2024,"['Musk', 'Elon', 'Spaces', 'Omar', '1 Billion']"
14-08-2024,"['Omar', 'Mbappe', 'Real Madrid', 'Ilhan Omar', 'Inflation']"
15-08-2024,"['Independence Day', 'Price', 'FREENBECKY FALLING 2GETHER', 'Medicare', '#BB26']"
16-08-2024,"['Genshin', '#MUFC', '#BB26', 'Lady Gaga', 'Fulham']"
17-08-2024,"['#HBD26thFreenSoloStage', 'THE FREENAIRY ORACLE', 'Arsenal', 'Liverpool', 'North Carolina']"
18-08-2024,"['Chelsea', 'Alain Delon', '#UFC305', '#EndlessYokoLove', 'Adesanya']"
19-08-2024,"['My Life', 'Alain Delon', 'Alien', 'Hillary Clinton', '#WWERaw']"
20-08-2024,"['Joe Biden', 'Hillary Clinton', 'President Joe Biden', '#DNCConvention2024', 'DO SOMETHING']"
21-08-2024,"['The DNC', 'Joe Biden', 'Michelle Obama', 'RFK Jr.', '#DNC2024']"
22-08-2024,"['#jjk267', 'Oprah', 'Gus Walz', 'Bill Clinton', 'Pink']"
23-08-2024,"['Democrats', 'Gus Walz', 'Beyoncé', 'Democratic Party', 'Bill Clinton']"
24-08-2024,"['Sabrina', 'Democratic Party', 'Unity', 'Beyoncé', 'Gus Walz']"
25-08-2024,"['BACK TO BACK TO BACK', 'Kennedy', ""A'ja"", 'Oasis', '#VALORANTChampions']"
26-08-2024,"['Telegram', 'RFK Jr', 'jaehyun', 'Kennedy', 'Afghanistan']"
27-08-2024,"['Zuckerberg', 'Oasis', 'Arlington', 'Tulsi', 'Jack Smith']"
28-08-2024,"['taeil', '#湊あくあ卒業ライブ', 'Zuckerberg', 'Oasis', 'Arlington']"
29-08-2024,"['taeil', 'Arlington', 'Brazil', '#MaybellineTeddyLand', 'Zuckerberg']"
30-08-2024,"['Brazil', 'Arlington', 'Dana Bash', 'Sancho', 'Venezuelan']"
31-08-2024,"['Brazil', 'jungkook', 'The U', 'Arlington', 'Gaudreau']"
01-09-2024,"['Jungkook', 'Brazil', 'Hamas', 'Gold Star', 'Afghanistan']"
02-09-2024,"['Hamas', 'Brazil', 'Labor Day', 'Netanyahu', 'Gold Star']"
03-09-2024,"['Israel', 'Labor Day', 'Hamas', 'Netanyahu', 'Unions']"
04-09-2024,"['Russian', 'Minecraft', 'Guns', '#Daavudi', 'McCain']"
05-09-2024,"['Russian', 'Putin', 'Georgia', 'Minecraft', 'Tim Pool']"
06-09-2024,"['Russian', 'Putin', 'Rich Homie Quan', 'baekhyun', 'Tzuyu']"
07-09-2024,"['Russian', 'Cheney', 'Putin', 'Colorado', 'Linkin Park']"
08-09-2024,"['España', 'Edmundo', '#AEWAllOut', 'Tyreek', 'Panthers']"
09-09-2024,"['Haitians', '#AppleEvent', 'Wayne', 'Tyreek', 'Cops']"
10-09-2024,"['Donald', 'Moderators', 'Haitian', 'Springfield', '#DevaraTrailer']"
11-09-2024,"['Taylor', 'Moderators', 'Springfield', '#VMAs', 'ABC News']"
